id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
99621372,4566919726066,"Bình giữ nhiệt Lock&Lock Belt Bottle LHC4267 490ml với quai xách kiểu dáng dây đai giúp dễ dàng mang đi.Tay cầm TPE ngăn nắp rơi ra và mất, dây đai cố định nắp trong khi uống.Nắp được giữ cố ...",235000,473000,,238000,50,1133,,available,,1000,1000,,48077,LocknLock
55900887,2112313292992,"THIẾT KẾ SANG TRỌNG - ĐẲNG CẤPChất liệu hợp kim nhôm đẳng cấp, chắc chắn và sang trọngCó thể gập ở 2 vị trí, linh hoạt, chiếu sáng tới vị trí làm việcBỀN BỈHệ thống 26 bóng đèn LED tiết kiệm n...",449000,499000,,50000,10,1016,,available,,1000,1000,,835483,eLights
107961500,3904766552668,Cấu trúc tường đôi: Ly Nhựa 2 Lớp LocknLock Double Wall Cold Cup Cherry Blossom 750ml HAP509 sử dụng vệ sinh hơn vì nước lạnh không bị ngưng tụ bên ngoài thành cốc.Miệng ly rộng: Dễ dàng vệ sinh bên...,129000,217000,,88000,41,981,,available,,1000,1000,,48077,LocknLock
45443981,3726233794062,Hạt Giống Đậu Rồng [ Nảy Mầm Cực Chuẩn ]Bán hạt giống Đậu rồngXuất xứ: Việt NamĐộ thuần: 99%Màu sắc: Màu xanhSố lượng hạt: 3 hạt (túi zip)Hạn sử dụng: 2 nămQuả dài: 10-15cmNơi trồng thích hợ...,5900,5900,,0,0,7,,available,,1000,1000,,111461,OEM
1918591,4964968185253,"Keo Dán Giày, Dây Nịt Đa Năng Selleys Kwik Grip là dòng keo kết dính đàn hôi, thích hợp cho việc dán các vật có bề mặt thấm nước và khống thấm nước, bề mặt đứng thẳng hoặc những bề mặt khó cố định.S...",29000,35000,,6000,17,475,,available,,1000,1000,,52977,Selleys
186256010,2595430081331,"** Ưu điểm:– Sản phẩm có đường may khéo léo, chắc chắn.– Màu sắc nổi bật, an toàn cho sức khỏe gia đình bạn.– Dùng để thay đổi cho không gian phòng ngủ thêm phong phú hoặc để dùng kèm với bộ cũ của...",38000,45000,,7000,16,22,,available,,1000,1000,,697923,LIDACO
191505971,4898846305750,Bình giữ nhiệt Lock&Lock Maman Cup Vacuum Bottle - Thép không gỉ hợp vệ sinh và cấu trúc 2 lớp chân không giúp ngăn chặn việc đọng nước bên ngoài và giữ cho túi của bạn luôn sạch sẽ khi mang theo...,255000,515000,,260000,50,81,,available,,1000,1000,,48077,LocknLock
126725438,8006443189097,"Chất liệu: vải cách nhiệt (1 mặt mút xốp, 1 mặt tráng bạc) - viền vải không dệtÊm ái - gọn nhẹ, dễ dàng mang theo khi đi dã ngoại, văn phòng xếp gọn và vệ sinh dễ dàngCho giấc ngủ trưa ngon, không n...",39000,39000,,0,0,316,,available,,1000,1000,,5187537,GINGOOD
146887829,3696663027608,"Đèn Pixar, Đèn Bàn Học Chống Cận Thị, Đèn Đọc Sách LED, Đèn Làm Việc Bảo Vệ Mắt - Hàng Chính Hãng dododios  Đèn bàn DODODIOS PIXAR được chế tạo từ thép được sơn tĩnh điện cao cấp     Đèn bà...",149000,250000,,101000,40,287,,available,,1000,1000,,5272071,dododios
174618568,1085021483685,"Thùng rác thông minh cảm ứng tự động M&L B-JA-18 sẽ thay đổi khái niệm về thùng rác của bạn. Thùng rác thông minh M&L không còn là đồ dùng hôi hám, xấu xí bạn phải giấu đi trong không gian sin...",559000,945000,,386000,41,35,,available,,1000,1000,,5718283,M&L
127077945,6165473420713,"       Hạt giống dưa lưới chịu nhiệt, sản phẩm của Hạt Giống Rạng Đông   Quy cách: gói 10 hạt   Hướng dẫn trồng:   Gieo vào bầu 1hạt/ 1 bầu. Thời gian ươm khoảng 7-10 ngày (vụ thu đông), 15 ngà...",5000,5000,,0,0,0,,available,,1000,1000,,111461,OEM
201040328,4080016476690,- Bình giữ nhiệt LocknLock Riga Tumbler Vietnam Edition LHC4160 897ml có quai xách dễ dàng mang đi mọi nơi- Bộ lọc thép không gỉ và ngăn đá tràn khi uống- Miệng bình rộng dễ dàng vệ sinh- Ống hút ...,354000,715000,,361000,50,99,,available,,1000,1000,,48077,LocknLock
